,S. No.,Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Residence,Playstyle,GAD_T,SWL_T,SPIN_T
6126,6440,League of Legends,PC,50.0,I play for fun,winning,Male,19,Unemployed / between jobs,,Australia,Multiplayer - online - with online acquaintances or teammates,21,9,63.0
6127,6441,League of Legends,PC,20.0,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),New Zealand ,Multiplayer - online - with real life friends,5,19,12.0
6128,6442,League of Legends,PC,14.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Denmark,Multiplayer - online - with strangers,3,11,29.0
6129,6443,League of Legends,PC,8.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Croatia,Multiplayer - online - with strangers,5,31,14.0
6130,6444,League of Legends,PC,10.0,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,1,28,2.0
6131,6445,League of Legends,PC,28.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - offline (people in the same room),4,19,23.0
6132,6446,League of Legends,PC,10.0,I play for fun,having fun,Male,22,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,3,24,5.0
6133,6448,League of Legends,PC,10.0,I play for fun,having fun,Male,20,Student at school,High school diploma (or equivalent),France,Multiplayer - online - with real life friends,1,28,6.0
6134,6449,Other,PC,10.0,I play for fun,having fun,Male,24,Student at college / university,Bachelor or equivalent,Germany,Multiplayer - online - with real life friends,0,18,
6135,6450,League of Legends,PC,14.0,I play for fun,improving,Male,18,Student at school,,USA,Multiplayer - online - with strangers,7,26,13.0
6136,6451,League of Legends,PC,20.0,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,4,12,16.0
6137,6452,League of Legends,PC,18.0,I play for fun,improving,Female,22,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,7,19,29.0
6138,6453,League of Legends,PC,16.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),all of the above,Male,24,Employed,Bachelor or equivalent,USA,mix of the last 2 options,4,20,6.0
6139,6454,League of Legends,PC,15.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,3,25,34.0
6140,6455,League of Legends,PC,5.0,I play for fun,improving,Female,24,Employed,Master or equivalent,USA,Multiplayer - online - with real life friends,1,27,12.0
6141,6456,League of Legends,PC,25.0,I play for fun,improving,Male,21,Employed,Bachelor or equivalent,UK,Multiplayer - online - with real life friends,3,26,32.0
6142,6457,League of Legends,PC,25.0,I play for fun,winning,Male,23,Student at college / university,High school diploma (or equivalent),Denmark,Multiplayer - online - with strangers,13,10,22.0
6143,6458,League of Legends,PC,15.0,I play for fun,winning,Male,26,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,5,29,20.0
6144,6459,League of Legends,PC,20.0,I play for fun,winning,Male,22,Unemployed / between jobs,Bachelor or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,8,21,15.0
6145,6460,League of Legends,PC,14.0,I play for fun,having fun,Male,18,Student at school,,Italy,Multiplayer - online - with online acquaintances or teammates,3,19,25.0
6146,6461,League of Legends,PC,20.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),winning,Male,20,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,4,15,16.0
6147,6462,League of Legends,PC,30.0,To gain skills from the game,improving,Male,18,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with online acquaintances or teammates,0,27,1.0
6148,6463,League of Legends,PC,15.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Venezuela,Multiplayer - online - with online acquaintances or teammates,5,22,32.0
6149,6464,League of Legends,PC,80.0,I play for fun,winning,Male,19,Student at college / university,Bachelor or equivalent,Australia,Multiplayer - online - with real life friends,5,30,3.0
6150,6465,League of Legends,PC,10.0,I play for fun,having fun,Male,20,Student at college / university,,USA,Singleplayer,1,23,14.0
6151,6466,Other,Console (PS  Xbox  ...),12.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with online acquaintances or teammates,10,27,25.0
6152,6467,League of Legends,PC,2.0,I play for fun,improving,Female,19,Student at college / university,High school diploma (or equivalent),Singapore,Multiplayer - online - with strangers,8,30,60.0
6153,6468,League of Legends,PC,40.0,I play for fun,relaxing,Male,18,Student at school,High school diploma (or equivalent),Bulgaria,Multiplayer - online - with real life friends,6,15,27.0
6154,6470,League of Legends,PC,16.0,I play for fun,having fun,Male,19,Student at college / university,Bachelor or equivalent,Belgium,Multiplayer - online - with real life friends,1,24,31.0
6155,6471,League of Legends,PC,30.0,I play for fun,having fun,Male,18,Student at school,,Czech Republic,Multiplayer - online - with real life friends,0,18,25.0
6156,6472,Starcraft 2,PC,12.0,I play for fun,improving,Male,28,Student at college / university,Master or equivalent,Canada,Singleplayer,4,28,22.0
6157,6473,League of Legends,PC,25.0,I play for fun,having fun,Male,30,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,8,9,42.0
6158,6474,League of Legends,PC,50.0,I play for fun,having fun,Male,19,Employed,High school diploma (or equivalent),Norway,Multiplayer - online - with real life friends,8,16,22.0
6159,6475,League of Legends,PC,15.0,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Portugal,Multiplayer - online - with real life friends,14,14,53.0
6160,6476,League of Legends,PC,70.0,wish other options but can't earn anything,winning,Male,21,Unemployed / between jobs,,Italy,Multiplayer - online - with strangers,16,5,46.0
6161,6477,League of Legends,PC,20.0,I play for fun,having fun,Male,24,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,7,16,37.0
6162,6478,League of Legends,PC,30.0,I play for fun,having fun,Male,23,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,8,17,23.0
6163,6479,League of Legends,PC,18.0,I play for fun,having fun,Male,19,Employed,High school diploma (or equivalent),Netherlands,Multiplayer - online - with real life friends,1,30,6.0
6164,6480,League of Legends,PC,20.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,23,Employed,Bachelor or equivalent,Brazil,Multiplayer - online - with online acquaintances or teammates,6,24,17.0
6165,6481,League of Legends,PC,35.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,22,Student at college / university,Bachelor or equivalent,Germany,Multiplayer - online - with online acquaintances or teammates,2,27,4.0
6166,6482,League of Legends,PC,42.0,Nothing better to do,All of the above,Male,18,Student at school,,UK,Multiplayer - online - with strangers,3,9,20.0
6167,6483,Other,PC,10.0,I play for fun,relaxing,Male,28,Employed,Master or equivalent,USA,Multiplayer - online - with strangers,2,30,5.0
6168,6484,League of Legends,PC,10.0,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,4,24,18.0
6169,6485,League of Legends,PC,15.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Singleplayer,6,29,12.0
6170,6486,League of Legends,PC,4.0,I play for fun,having fun,Male,23,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,4,35,12.0
6171,6487,Counter Strike,PC,44.0,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),Germany,Singleplayer,7,10,37.0
6172,6488,League of Legends,PC,16.0,I play for fun,having fun,Male,18,Student at school,,USA,Multiplayer - online - with real life friends,4,19,13.0
6173,6489,League of Legends,PC,18.0,I play for fun,winning,Male,18,Student at school,,Sweden,Multiplayer - online - with real life friends,2,21,
6174,6490,League of Legends,PC,10.0,I play for fun,improving,Male,31,Employed,Ph.D.  Psy. D.  MD (or equivalent),Denmark,Its a mixture of both single player and online with strangers,0,26,12.0
6175,6491,League of Legends,PC,50.0,I play for fun,improving,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Italy,Multiplayer - online - with online acquaintances or teammates,4,23,
6176,6492,League of Legends,PC,30.0,I play for fun,having fun,Male,21,Unemployed / between jobs,High school diploma (or equivalent),Sweden,Multiplayer - online - with online acquaintances or teammates,4,17,38.0
6177,6493,World of Warcraft,PC,10.0,I play for fun,improving,Male,32,Employed,Bachelor or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,2,31,6.0
6178,6494,League of Legends,PC,25.0,I play for fun,improving,Male,20,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - with online acquaintances or teammates,6,15,17.0
6179,6495,League of Legends,PC,45.0,I play for fun,having fun,Male,19,Student at school,High school diploma (or equivalent),Germany,Multiplayer - online - with strangers,4,23,33.0
6180,6496,League of Legends,PC,12.0,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Sweden,Multiplayer - online - with real life friends,3,28,7.0
6181,6497,Counter Strike,PC,21.0,I play for fun,improving,Male,21,Employed,Bachelor or equivalent,UK,Multiplayer - online - with strangers,21,5,54.0
6182,6499,League of Legends,PC,42.0,I play for fun,having fun,Male,19,Student at school,,Netherlands,Multiplayer - online - with strangers,4,23,28.0
6183,6501,Hearthstone,PC,12.0,I play for fun,having fun,Male,19,Student at school,,Poland,Multiplayer - online - with strangers,2,28,8.0
6184,6502,Starcraft 2,PC,14.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Netherlands,Multiplayer - online - with online acquaintances or teammates,2,30,3.0
6185,6503,League of Legends,PC,35.0,I play for fun,Improving and having fun,Male,18,Student at school,,Netherlands,Multiplayer - online - with strangers,2,23,5.0
6186,6504,Other,PC,30.0,I play for fun,having fun,Male,24,Employed,High school diploma (or equivalent),Canada,Multiplayer - online - with strangers,3,23,
6187,6505,League of Legends,PC,3.0,I play for fun,having fun,Male,18,Student at school,,USA,Multiplayer - online - with strangers,0,5,22.0
6188,6507,League of Legends,PC,40.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Male,20,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with real life friends,1,14,1.0
6189,6508,League of Legends,PC,20.0,I play for fun,relaxing,Male,18,Student at college / university,,UK,Multiplayer - online - with real life friends,0,34,10.0
6190,6509,League of Legends,PC,15.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Belgium,Multiplayer - online - with online acquaintances or teammates,3,15,7.0
6191,6510,League of Legends,PC,14.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,2,19,10.0
6192,6511,Other,PC,60.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Colombia,Multiplayer - online - with online acquaintances or teammates,3,16,29.0
